"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 25 09:39:54 PKT 2022","Mon Jul 25 09:40:04 PKT 2022","10033","","Adding suncreens to the cart: Add two Sunscreens to the cart that meet specific criteria","","Adding suncreens to the cart: Add two Sunscreens to the cart that meet specific criteria","Then the sunscreens are added into the cart and value of cart should be incremented","Then the sunscreens are added into the cart and value of cart should be incremented",""
"passed","Thu Jul 21 10:51:27 PKT 2022","Thu Jul 21 10:51:27 PKT 2022","41","","Adding Almond moisturisers to the cart: Add an Almond moisturizer to the cart that meet specific criteria","","Adding Almond moisturisers to the cart: Add an Almond moisturizer to the cart that meet specific criteria","Then the value of cart should be incremented","Then the value of cart should be incremented",""
"broken","Wed Jul 20 10:09:07 PKT 2022","Wed Jul 20 10:09:07 PKT 2022","31","","Adding moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","","Adding moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","When user iterates over all elements on the page and select the moisturizer that is least expensive and contains ""Aloe"" in the name","When user iterates over all elements on the page and select the moisturizer that is least expensive and contains ""Aloe"" in the name",""
"passed","Mon Jul 25 09:39:52 PKT 2022","Mon Jul 25 09:39:54 PKT 2022","1886","","Adding suncreens to the cart: Add two Sunscreens to the cart that meet specific criteria","","Adding suncreens to the cart: Add two Sunscreens to the cart that meet specific criteria","When the Products are least expensive and meet specific criteria, add them into the cart","When the Products are least expensive and meet specific criteria, add them into the cart",""
"failed","Sat Jul 23 17:57:18 PKT 2022","Sat Jul 23 17:57:18 PKT 2022","82","","Adding two moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","","Adding two moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","Then the value of cart should be incremented","Then the value of cart should be incremented",""
"passed","Tue Jul 19 11:08:19 PKT 2022","Tue Jul 19 11:08:20 PKT 2022","300","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","Given A web browser is at the Google home page","Given A web browser is at the Google home page",""
"passed","Sat Jul 23 19:10:09 PKT 2022","Sat Jul 23 19:10:09 PKT 2022","0","","Adding Products to the cart: Add products to the cart that meet specific criteria","","Adding Products to the cart: Add products to the cart that meet specific criteria","","",""
"broken","Tue Jul 19 14:17:37 PKT 2022","Tue Jul 19 14:17:37 PKT 2022","1","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","When the user clicks on Buy moisturizers","When the user clicks on Buy moisturizers",""
"broken","Tue Jul 19 10:29:27 PKT 2022","Tue Jul 19 10:29:27 PKT 2022","1","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Then I should see a flash message saying Your username is invalid!","Then I should see a flash message saying Your username is invalid!",""
"passed","Tue Jul 19 10:29:27 PKT 2022","Tue Jul 19 10:29:27 PKT 2022","296","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Given I am on the login page","Given I am on the login page",""
